id,RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-03-31,2023-05-31,2024-02-29,createdAt,updatedAt
1,102001,0,United States,country,,2023-02-28,0.3,0.3,1,2023-04-04,2023-04-04
2,394913,1,"New York, NY",msa,NY,2023-02-28,0.5,0.5,-0.8,2023-04-04,2023-04-04
3,753899,2,"Los Angeles, CA",msa,CA,2023-02-28,-1.2,-2.4,-2.2,2023-04-04,2023-04-04
4,394463,3,"Chicago, IL",msa,IL,2023-02-28,0.4,-0.1,-1.9,2023-04-04,2023-04-04
5,394514,4,"Dallas, TX",msa,TX,2023-02-28,-0.2,-0.4,-0.1,2023-04-04,2023-04-04
6,394692,5,"Houston, TX",msa,TX,2023-02-28,-0.1,-0.7,-1,2023-04-04,2023-04-04
7,395209,6,"Washington, DC",msa,VA,2023-02-28,0.1,-0.1,-1.8,2023-04-04,2023-04-04
8,394856,7,"Miami, FL",msa,FL,2023-02-28,0.2,0,1.7,2023-04-04,2023-04-04
9,394974,8,"Philadelphia, PA",msa,PA,2023-02-28,0.4,0.3,0,2023-04-04,2023-04-04
10,394347,9,"Atlanta, GA",msa,GA,2023-02-28,-0.1,-0.5,1.6,2023-04-04,2023-04-04
11,394976,10,"Phoenix, AZ",msa,AZ,2023-02-28,-0.4,-0.9,0.7,2023-04-04,2023-04-04
12,394404,11,"Boston, MA",msa,MA,2023-02-28,0.1,-0.1,-1.4,2023-04-04,2023-04-04
13,395057,12,"San Francisco, CA",msa,CA,2023-02-28,-0.2,-0.5,-2.7,2023-04-04,2023-04-04
14,395025,13,"Riverside, CA",msa,CA,2023-02-28,-0.6,-1.4,-1.2,2023-04-04,2023-04-04
15,394532,14,"Detroit, MI",msa,MI,2023-02-28,0.6,0.6,0.4,2023-04-04,2023-04-04
16,395078,15,"Seattle, WA",msa,WA,2023-02-28,0,-0.1,-0.9,2023-04-04,2023-04-04
17,394865,16,"Minneapolis, MN",msa,MN,2023-02-28,0.1,-0.3,-1.6,2023-04-04,2023-04-04
18,395056,17,"San Diego, CA",msa,CA,2023-02-28,-0.1,0.1,-0.2,2023-04-04,2023-04-04
19,395148,18,"Tampa, FL",msa,FL,2023-02-28,0,-0.3,2.3,2023-04-04,2023-04-04
20,394530,19,"Denver, CO",msa,CO,2023-02-28,-0.1,-0.5,-1.6,2023-04-04,2023-04-04
21,395121,20,"St. Louis, MO",msa,MO,2023-02-28,0.4,0.2,-0.4,2023-04-04,2023-04-04
22,394358,21,"Baltimore, MD",msa,MD,2023-02-28,0.6,0.3,-1.3,2023-04-04,2023-04-04
23,394458,22,"Charlotte, NC",msa,NC,2023-02-28,-0.1,-0.3,2,2023-04-04,2023-04-04
24,394943,23,"Orlando, FL",msa,FL,2023-02-28,-0.2,-0.7,0.6,2023-04-04,2023-04-04
25,395055,24,"San Antonio, TX",msa,TX,2023-02-28,0.1,-0.2,0.2,2023-04-04,2023-04-04
26,394998,25,"Portland, OR",msa,OR,2023-02-28,-0.1,-0.6,-2,2023-04-04,2023-04-04
27,395045,26,"Sacramento, CA",msa,CA,2023-02-28,-0.4,-1,-2.1,2023-04-04,2023-04-04
28,394775,27,"Las Vegas, NV",msa,NV,2023-02-28,-0.7,-1.7,-1.9,2023-04-04,2023-04-04
29,394982,28,"Pittsburgh, PA",msa,PA,2023-02-28,0.2,-0.3,-1.2,2023-04-04,2023-04-04
30,394355,29,"Austin, TX",msa,TX,2023-02-28,-0.6,-1.3,-0.6,2023-04-04,2023-04-04
31,394466,30,"Cincinnati, OH",msa,OH,2023-02-28,0.4,0.5,1.1,2023-04-04,2023-04-04
32,394735,31,"Kansas City, MO",msa,MO,2023-02-28,0.6,0.9,1.4,2023-04-04,2023-04-04
33,394492,32,"Columbus, OH",msa,OH,2023-02-28,0.4,0.8,1.9,2023-04-04,2023-04-04
34,394705,33,"Indianapolis, IN",msa,IN,2023-02-28,0.3,0.4,2.1,2023-04-04,2023-04-04
35,394475,34,"Cleveland, OH",msa,OH,2023-02-28,0.3,0.1,-0.1,2023-04-04,2023-04-04
36,395059,35,"San Jose, CA",msa,CA,2023-02-28,-1.6,-3.2,-3.6,2023-04-04,2023-04-04
37,394902,36,"Nashville, TN",msa,TN,2023-02-28,0,-0.1,1.6,2023-04-04,2023-04-04
38,395194,37,"Virginia Beach, VA",msa,VA,2023-02-28,0.2,-0.1,-1,2023-04-04,2023-04-04
39,395005,38,"Providence, RI",msa,RI,2023-02-28,0.3,0.1,0.1,2023-04-04,2023-04-04
40,394714,39,"Jacksonville, FL",msa,FL,2023-02-28,-0.2,-0.6,1.6,2023-04-04,2023-04-04
41,394862,40,"Milwaukee, WI",msa,WI,2023-02-28,0.7,0.6,-0.4,2023-04-04,2023-04-04
42,394935,41,"Oklahoma City, OK",msa,OK,2023-02-28,0,-0.3,-0.3,2023-04-04,2023-04-04
43,395012,42,"Raleigh, NC",msa,NC,2023-02-28,-0.1,-0.3,0.9,2023-04-04,2023-04-04
44,394849,43,"Memphis, TN",msa,TN,2023-02-28,0.3,0.4,2.4,2023-04-04,2023-04-04
45,395022,44,"Richmond, VA",msa,VA,2023-02-28,0.4,0.5,0.8,2023-04-04,2023-04-04
46,394910,45,"New Orleans, LA",msa,LA,2023-02-28,0.7,0.1,-2.1,2023-04-04,2023-04-04
47,394807,46,"Louisville, KY",msa,KY,2023-02-28,0.3,-0.1,-0.3,2023-04-04,2023-04-04
48,395053,47,"Salt Lake City, UT",msa,UT,2023-02-28,0.1,0,1.3,2023-04-04,2023-04-04
49,394669,48,"Hartford, CT",msa,CT,2023-02-28,0.3,0.2,-1.3,2023-04-04,2023-04-04
50,394425,49,"Buffalo, NY",msa,NY,2023-02-28,0.2,0.1,0.2,2023-04-04,2023-04-04
51,394388,50,"Birmingham, AL",msa,AL,2023-02-28,0.5,0.5,1.5,2023-04-04,2023-04-04
52,394640,51,"Grand Rapids, MI",msa,MI,2023-02-28,0.7,1.1,2,2023-04-04,2023-04-04
53,395031,52,"Rochester, NY",msa,NY,2023-02-28,0.2,0.2,0.2,2023-04-04,2023-04-04
54,395167,53,"Tucson, AZ",msa,AZ,2023-02-28,0,0.1,2.4,2023-04-04,2023-04-04
55,395169,54,"Tulsa, OK",msa,OK,2023-02-28,0.4,0.3,1.5,2023-04-04,2023-04-04
